"id","state","county_name","media_market","gender","political_party","education_area","age","gender_female","gender_male","income","maritalstatus_single","maritalstatus_married","length_of_residence","has_children","number_of_children","is_homeowner","is_renter","level_of_education","religion_catholic","religion_christian","donor_political_org","donor_liberal_org","donor_conservative_org","donor_religious_org","donor_health_org","occupation_blue_collar","occupation_farmer","occupation_professional_technical","occupation_retired","purchases_apparel","purchases_book","purchases_electronic","purchases_boat","purchases_luxuryitems","has_a_cat","interests_environment","interests_outdoorgarden","interests_outdoorsport","interests_guns","interests_golf","interests_investing","interests_veteranaffairs","ethnicity_afam","ethnicity_latino","ethnicity_asian","ethnicity_white","ethnicity_other","health_insurance"
"2b79fa61dab4f25a68e6143da260b62d","TX","midland","odessa-midland tx","F","R","03-Low Education Area",36,1,0,85,0,1,12,1,2,1,0,"no hs degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Health Insurance Plan Blue"
"9f1226559658a9b83e2d8f2eadd9d9d6","TX","bexar","san antonio tx","M","D","03-Low Education Area",28,0,1,69,0,1,9,0,0,1,0,"no hs degree",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Uninsured"
"ec7dda6179018d844bd101fe72c83515","TX","victoria","victoria tx","F","I","03-Low Education Area",29,1,0,76,0,1,21,1,0,1,0,"no hs degree",1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,"Health Insurance Plan Blue"
"e2055749e26a483b6bd8fd18e4b2fec3","TX","gillespie","austin tx","M","R","02-Medium Education Area",38,0,1,110,0,1,7,1,4,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,"Health Insurance Plan Red"
"6251d9b7f3e2788c316982cc48a49e5c","TX","bexar","san antonio tx","F","D","03-Low Education Area",21,1,0,87,1,0,3,0,0,0,1,"no hs degree",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Uninsured"
"a2e3681db65c188889034f15d42f5b59","TX","tarrant","dallas-ft.worth tx","M","I","02-Medium Education Area",36,0,1,79,0,1,9,1,1,1,0,"some college",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"Uninsured"
"de17684dbe44f798d9958d1ee4225c7a","TX","denton","dallas-ft.worth tx","F","R","02-Medium Education Area",56,1,0,136,1,0,13,1,0,1,0,"some college",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"Health Insurance Plan Blue"
"fbac4c2b90f6967d2eb5110e7d7405f1","TX","coryell","waco-temple-bryan tx","M","R","03-Low Education Area",63,0,1,83,0,1,12,1,0,1,0,"some college",0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"Health Insurance Plan Blue"
"2f3841510c00a8f35d688282b1bbcc80","TX","collin","dallas-ft.worth tx","M","R","01-High Education Area",59,0,1,93,0,1,14,0,0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,"Uninsured"
"b55b30b728b2fcdc0f3f26f4079f4bff","TX","wise","dallas-ft.worth tx","M","R","02-Medium Education Area",48,0,1,116,0,1,13,1,0,1,0,"some college",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"Health Insurance Plan Blue"
"bf6c8ff5c6e042d380f2656b4343e85d","TX","dallas","dallas-ft.worth tx","M","D","03-Low Education Area",62,0,1,72,0,1,12,0,0,1,0,"no hs degree",0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"Health Insurance Plan Blue"
"4f8f234e300fe722840091c5935c1d32","TX","hidalgo","harlingen-weslaco-brownsville-mcallen tx","F","D","03-Low Education Area",25,1,0,51,0,1,8,1,3,1,0,"some college",1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,"Health Insurance Plan Red"
"67494e76333621b32ef0fade604aa5e8","TX","collin","dallas-ft.worth tx","M","R","01-High Education Area",64,0,1,74,0,1,19,0,0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"Health Insurance Plan Red"
